Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Argentina;317.759;300.421;112.458;142.431;164.911;199.273;232.892;287.921;363.545;334.633;424.729;527.644;579.666;611.471;563.614;642.464;556.774;643.861;524.431;451.815;389.064;455.172;483.765;476.485;488.269;511.523;536.229
Bolivia;8.385;8.155;7.917;8.092;8.785;9.573;11.52;13.216;16.792;17.464;19.786;24.135;27.282;30.883;33.237;33.241;34.189;37.782;40.581;41.193;36.839;38.547;40.895;43.867;47.039;50.391;53.928
Brazil;655.454;559.982;509.798;558.232;669.29;891.633;1,107.63;1,397.11;1,695.86;1,669.20;2,208.70;2,614.03;2,464.05;2,471.72;2,456.06;1,800.05;1,796.62;2,063.52;1,916.93;1,877.82;1,444.72;1,645.84;1,810.61;1,958.41;2,120.21;2,255.67;2,387.81
Chile;77.817;70.971;69.73;75.643;99.226;123;154.864;173.569;179.484;172.526;218.321;252.097;267.021;278.347;260.473;243.89;250.332;276.929;297.501;279.338;252.821;331.25;352.664;374.228;394.697;415.88;438.12
Colombia;99.23;97.566;97.313;94.034;116.336;145.601;161.793;206.23;242.504;232.469;286.498;334.966;370.691;382.093;381.241;293.493;282.72;311.89;334.124;323.375;271.554;300.791;319.29;336.247;354.264;373.374;393.684
Ecuador;18.319;24.468;28.549;32.433;36.592;41.507;46.802;51.008;61.763;62.52;69.555;79.277;87.925;95.13;101.726;99.29;99.938;104.296;107.562;108.108;98.808;104.483;109.975;114.076;118.502;123.202;128.089
Mexico;707.909;756.693;772.11;729.335;782.243;877.477;975.383;1,052.70;1,109.99;900.047;1,057.80;1,180.49;1,201.09;1,274.44;1,315.36;1,171.87;1,078.49;1,158.91;1,222.41;1,269.43;1,073.92;1,285.52;1,371.64;1,446.78;1,518.86;1,591.40;1,665.56
Panama;12.502;12.704;13.204;13.915;15.255;16.638;18.438;21.296;25.156;27.117;29.44;34.686;40.43;45.6;49.921;54.092;57.908;62.203;64.928;66.788;52.938;60.121;64.366;68.936;73.83;79.072;84.686
Paraguay;8.856;8.496;7.196;7.691;9.624;10.738;13.43;17.856;24.615;22.355;27.129;33.737;33.296;38.651;40.378;36.211;36.09;38.997;40.225;37.907;35.67;36.973;39.197;41.306;44.013;46.693;49.496
Peru;50.414;51.034;53.954;58.537;66.126;74.232;87.459;102.187;121.734;121.531;148.819;170.656;192.85;202.082;202.278;191.247;194.266;214.128;225.369;230.865;205.458;225.858;231.691;246.721;258.714;270.706;283.487
Uruguay;24.804;22.712;14.809;13.109;14.892;18.901;21.314;25.486;32.988;34.395;43.763;52.103;55.692;62.499;62.178;57.874;57.237;64.234;64.766;61.931;56.577;60.108;63.741;65.862;68.59;71.617;74.554
Venezuela;117.596;123.119;95.258;83.684;112.254;143.375;178.521;232.857;306.764;268.624;318.281;352.54;352.191;258.993;203.822;323.595;279.249;143.841;98.4;63.96;47.255;44.893;43.546;n/a;n/a;n/a;n/a